Date,Open,High,Low,Close,Adj Close,Volume
3/9/1982,0.294643,0.296875,0.294643,0.294643,0.24196,13126400
3/10/1982,0.292411,0.292411,0.290179,0.290179,0.238294,21733600
3/11/1982,0.290179,0.294643,0.290179,0.290179,0.238294,5644800
3/12/1982,0.274554,0.274554,0.272321,0.272321,0.22363,11636800
3/15/1982,0.272321,0.272321,0.270089,0.270089,0.221797,12840800
3/16/1982,0.267857,0.267857,0.265625,0.265625,0.218131,11788000
3/17/1982,0.254464,0.254464,0.252232,0.252232,0.207132,12622400
3/18/1982,0.272321,0.274554,0.272321,0.272321,0.22363,14084000
3/19/1982,0.296875,0.299107,0.296875,0.296875,0.243793,16452800
3/22/1982,0.319196,0.321429,0.319196,0.319196,0.262124,17298400
3/23/1982,0.316964,0.316964,0.314732,0.314732,0.258457,13988800
3/24/1982,0.299107,0.299107,0.296875,0.296875,0.243793,12902400
3/25/1982,0.296875,0.296875,0.294643,0.294643,0.24196,21028000
3/26/1982,0.292411,0.292411,0.290179,0.290179,0.238294,12695200
3/29/1982,0.296875,0.299107,0.296875,0.296875,0.243793,16900800
3/30/1982,0.301339,0.303571,0.301339,0.301339,0.247459,19488000
3/31/1982,0.301339,0.303571,0.301339,0.301339,0.247459,12538400
4/1/1982,0.316964,0.319196,0.316964,0.316964,0.26029,14784000
4/2/1982,0.316964,0.319196,0.316964,0.316964,0.26029,21201600
4/5/1982,0.316964,0.319196,0.316964,0.316964,0.26029,21660800
4/6/1982,0.316964,0.316964,0.314732,0.314732,0.258457,17897600
4/7/1982,0.3125,0.3125,0.310268,0.310268,0.254791,7274400
4/8/1982,0.3125,0.314732,0.3125,0.3125,0.256624,5997600
4/12/1982,0.3125,0.314732,0.310268,0.310268,0.254791,11076800
4/13/1982,0.287946,0.287946,0.285714,0.285714,0.234628,21324800
4/14/1982,0.287946,0.290179,0.287946,0.287946,0.236461,28397600
4/15/1982,0.292411,0.294643,0.292411,0.292411,0.240127,41070400
4/16/1982,0.301339,0.303571,0.301339,0.301339,0.247459,26012000
4/19/1982,0.299107,0.299107,0.294643,0.294643,0.24196,10320800
4/20/1982,0.283482,0.283482,0.28125,0.28125,0.230962,20137600
4/21/1982,0.28125,0.28125,0.279018,0.279018,0.229129,18256000
4/22/1982,0.276786,0.276786,0.274554,0.274554,0.225463,13148800
4/23/1982,0.274554,0.276786,0.274554,0.274554,0.225463,12073600
4/26/1982,0.28125,0.283482,0.28125,0.28125,0.230962,14481600
4/27/1982,0.274554,0.274554,0.272321,0.272321,0.22363,17567200
4/28/1982,0.263393,0.263393,0.261161,0.261161,0.214465,24808000
4/29/1982,0.261161,0.263393,0.261161,0.261161,0.214465,20557600
4/30/1982,0.263393,0.265625,0.263393,0.263393,0.216298,69350400
5/3/1982,0.272321,0.274554,0.272321,0.272321,0.22363,20675200
5/4/1982,0.28125,0.283482,0.28125,0.28125,0.230962,18496800
5/5/1982,0.28125,0.28125,0.276786,0.276786,0.227296,13484800
5/6/1982,0.285714,0.287946,0.285714,0.285714,0.234628,18866400
5/7/1982,0.290179,0.292411,0.290179,0.290179,0.238294,21179200
5/10/1982,0.287946,0.287946,0.285714,0.285714,0.234628,7901600
5/11/1982,0.279018,0.279018,0.276786,0.276786,0.227296,25754400
5/12/1982,0.272321,0.272321,0.270089,0.270089,0.221797,17752000
5/13/1982,0.272321,0.274554,0.272321,0.272321,0.22363,13613600
5/14/1982,0.265625,0.265625,0.261161,0.261161,0.214465,23934400
5/17/1982,0.258929,0.258929,0.256696,0.256696,0.210798,19051200
5/18/1982,0.254464,0.254464,0.252232,0.252232,0.207132,30508800
5/19/1982,0.252232,0.252232,0.25,0.25,0.205299,18821600
5/20/1982,0.252232,0.254464,0.252232,0.252232,0.207132,6904800
5/21/1982,0.254464,0.256696,0.254464,0.254464,0.208966,9710400
5/24/1982,0.256696,0.258929,0.256696,0.256696,0.210798,7996800
5/25/1982,0.256696,0.258929,0.256696,0.256696,0.210798,12891200
5/26/1982,0.256696,0.256696,0.254464,0.254464,0.208966,10819200
5/27/1982,0.252232,0.252232,0.25,0.25,0.205299,7812000
5/28/1982,0.25,0.252232,0.25,0.25,0.205299,4799200
6/1/1982,0.247768,0.247768,0.245536,0.245536,0.201633,11900000
6/2/1982,0.25,0.252232,0.25,0.25,0.205299,8226400
6/3/1982,0.245536,0.245536,0.241071,0.241071,0.197967,9940000
6/4/1982,0.236607,0.236607,0.234375,0.234375,0.192468,9419200
6/7/1982,0.234375,0.236607,0.234375,0.234375,0.192468,9290400
6/8/1982,0.234375,0.234375,0.232143,0.232143,0.190635,7851200
6/9/1982,0.229911,0.229911,0.227679,0.227679,0.186969,8461600
6/10/1982,0.229911,0.232143,0.229911,0.229911,0.188802,8601600
6/11/1982,0.238839,0.241071,0.238839,0.238839,0.196134,13658400
6/14/1982,0.238839,0.241071,0.238839,0.238839,0.196134,7498400
6/15/1982,0.238839,0.241071,0.238839,0.238839,0.196134,8803200
6/16/1982,0.238839,0.241071,0.238839,0.238839,0.196134,10432800
6/17/1982,0.236607,0.236607,0.234375,0.234375,0.192468,7291200
6/18/1982,0.234375,0.234375,0.229911,0.229911,0.188802,4967200
6/21/1982,0.229911,0.232143,0.229911,0.229911,0.188802,7134400
6/22/1982,0.238839,0.243304,0.238839,0.238839,0.196134,4390400
6/23/1982,0.245536,0.25,0.245536,0.245536,0.201633,13188000
